"Reference","Qty","Value","DigiKey_Part_Number","Mouser Part Number"
"C1,C4,C5,C6","4","GRM022D80G104ME15L","490-10386-1-ND",""
"C2,C3","2","CC0402JRNPO9BN220","311-1018-1-ND",""
"CR1","1","LD1117S33CTR","LD1117S33CTR",""
"CR2","1","LD1117S25CTR","LD1117S25CTR",""
"CR3","1","LD1117S18TR","",""
"D1,D2","2","WL-SMSW_1204_A","732-12022-1-ND",""
"J1","1","DM3CS-SF","HR1972CT-ND",""
"J2","1","CX90BW1-24P1","26-CX90BW1-24P1CT-ND",""
"J3","1","PINHD_1x6_Male","",""
"J4","1","2041411-1","A135635CT-ND",""
"J5,J6","2","PINHD_1x16_Male","",""
"J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17","11","PINHD_1x2_Male","",""
"J18,J19,J20,J21,J22","5","PINHD_1x5_Male","",""
"Q1","1","BSS84PH6327XTSA2","BSS84PH6327XTSA2CT-ND",""
"R1,R2,R3,R4,R5,R8,R9,R10,R11,R12,R13,R14,R15,R16,R90,R91,R92,R93","18","10k","N/A",""
"R6,R7","2","RC0402FR-075K1L","311-5.10KLRCT-ND",""
"R87,R88,R89","3","RC0402JR-074K7L","311-4.7KJRCT-ND",""
"S1","1","B3F-1000","SW400-ND",""
"S2","1","416131160803","732-416131160803CT-ND",""
"U1","1","LFE5U-25F-6BG256C","220-2205-ND",""
"U2","1","LAN8720A-CP-TR","",""
"U3","1","LD1117S12CTR","LD1117S12CTR",""
"U5","1","CP2102N-A02-GQFN24R","336-5888-1-ND",""
"U6","1","W959D6NFKX4I","",""
"U7","1","W25Q128JVSIQ TR","256-W25Q128JVSIQTRCT-ND",""
"Y1","1","ASE-25.000MHZ-LC-T","535-ASE-25.000MHZ-L-C-TCT-ND",""
"Y2","1","ECS-250-18-23A-EN-TR","XC1671CT-ND",""
